,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,84300.0,700.0,+0.84%,100.0,5032527.0,5969783.0,55.81,12729078.0,39.56,4.15,
2,2.0,SK하이닉스,186400.0,3500.0,+1.91%,5000.0,1356996.0,728002.0,54.74,1947497.0,-14.89,-15.61,
3,3.0,LG에너지솔루션,371000.0,3000.0,-0.80%,500.0,868140.0,234000.0,4.9,109056.0,70.17,6.36,
4,4.0,삼성전자우,68700.0,400.0,+0.59%,100.0,565323.0,822887.0,75.55,726112.0,32.24,,
5,5.0,삼성바이오로직스,792000.0,13000.0,-1.61%,2500.0,563698.0,71174.0,11.99,31371.0,65.72,9.12,
9,6.0,현대차,234500.0,6500.0,+2.85%,5000.0,496041.0,211532.0,38.37,1014303.0,5.38,13.68,
10,7.0,기아,109400.0,1400.0,+1.30%,5000.0,439836.0,402044.0,40.32,1158904.0,5.03,20.44,
11,8.0,셀트리온,179200.0,2100.0,-1.16%,1000.0,390745.0,218050.0,23.41,243110.0,49.24,5.07,
12,9.0,POSCO홀딩스,399500.0,4000.0,-0.99%,5000.0,337862.0,84571.0,27.27,204042.0,19.9,3.18,
13,10.0,NAVER,183500.0,5500.0,-2.91%,100.0,298020.0,162409.0,45.63,566600.0,29.69,4.41,
17,11.0,삼성SDI,411500.0,500.0,+0.12%,5000.0,282966.0,68765.0,42.06,142172.0,14.41,11.48,
18,12.0,KB금융,68000.0,1100.0,-1.59%,5000.0,274388.0,403511.0,75.51,1622928.0,5.94,8.44,
19,13.0,LG화학,388500.0,6500.0,-1.65%,5000.0,274251.0,70592.0,39.33,167730.0,22.73,4.2,
20,14.0,삼성물산,144300.0,5000.0,-3.35%,100.0,267809.0,185592.0,24.75,394085.0,12.2,7.28,
21,15.0,현대모비스,242000.0,1000.0,-0.41%,5000.0,226645.0,93655.0,40.06,108234.0,6.66,8.73,
25,16.0,신한지주,42900.0,700.0,-1.61%,5000.0,218530.0,509393.0,61.22,1418308.0,5.11,8.36,
26,17.0,포스코퓨처엠,277000.0,3000.0,-1.07%,500.0,214573.0,77463.0,9.18,124532.0,746.63,1.19,
27,18.0,카카오,48100.0,1150.0,-2.34%,100.0,214119.0,445153.0,28.05,580331.0,-21.13,-10.26,
28,19.0,하나금융지주,58200.0,100.0,+0.17%,5000.0,170152.0,292357.0,70.49,981502.0,5.01,9.01,
29,20.0,삼성생명,84600.0,4900.0,-5.47%,500.0,169200.0,200000.0,19.47,354357.0,8.93,4.95,
33,21.0,메리츠금융지주,80400.0,1000.0,-1.23%,500.0,163511.0,203372.0,16.59,284418.0,7.67,28.11,
34,22.0,LG전자,94900.0,1300.0,-1.35%,5000.0,155302.0,163648.0,30.09,228068.0,24.07,3.69,
35,23.0,한미반도체,146200.0,13300.0,+10.01%,100.0,142310.0,97339.0,15.01,3168915.0,53.26,55.54,
36,24.0,삼성화재,292000.0,14500.0,-4.73%,500.0,138335.0,47375.0,53.63,84098.0,8.12,12.73,
37,25.0,한국전력,21350.0,800.0,-3.61%,5000.0,137059.0,641964.0,15.26,1681059.0,-2.84,-12.63,
41,26.0,LG,79300.0,1500.0,-1.86%,5000.0,124740.0,157301.0,35.37,165595.0,10.08,4.89,
42,27.0,카카오뱅크,25300.0,600.0,-2.32%,5000.0,120661.0,476921.0,16.8,385288.0,34.01,6.0,
43,28.0,크래프톤,247500.0,5500.0,+2.27%,100.0,119702.0,48364.0,34.98,40504.0,20.25,11.16,
44,29.0,SK,162900.0,3800.0,-2.28%,200.0,119240.0,73198.0,24.75,102090.0,-15.52,-3.67,
45,30.0,KT&G,90000.0,900.0,-0.99%,5000.0,117290.0,130322.0,44.44,132722.0,13.61,9.76,
